SAP+NOME,UF,Semana,Ano,preço2,Mg %,Margem Líquida Real %,Preço,Vendas Reais Qtde,Vendas Reais $,Margem Líquida Real $,Venda Líquida Real $,CMV,CMV/QTD
000000000002158151 - T VISITA P BORDA DESIRE AZUL 6238,AM,5,2017,4.49,0.5099269503262452,50.99269503262452,4.217777777777779,32.0,140.68,64.73,115.3,50.57,1.5803125
000000000002158151 - T VISITA P BORDA DESIRE AZUL 6238,AM,5,2018,5.99,0.60270017245627,60.270017245627,5.49,4.0,21.96,10.86,18.02,7.16,1.79
000000000002158151 - T VISITA P BORDA DESIRE AZUL 6238,AM,6,2017,3.132857142857143,0.35761383320904533,35.761383320904514,3.0471428571428576,30.0,91.7,27.2,75.14,47.94,1.5979999999999999
000000000002158151 - T VISITA P BORDA DESIRE AZUL 6238,AM,6,2018,5.99,0.5885430152132005,58.85430152132005,5.49,9.0,49.410000000000004,22.97,39.519999999999996,16.55,1.838888888888889
000000000002158151 - T VISITA P BORDA DESIRE AZUL 6238,AM,7,2017,3.847142857142857,0.46162984928515616,46.16298492851562,3.847142857142857,10.0,41.900000000000006,18.14,34.339999999999996,16.2,1.6199999999999999
000000000002158151 - T VISITA P BORDA DESIRE AZUL 6238,AM,7,2018,4.99,0.519280205655527,51.9280205655527,4.74,2.0,9.48,4.04,7.78,3.74,1.87
000000000002158151 - T VISITA P BORDA DESIRE AZUL 6238,AM,8,2017,4.323333333333333,0.532929161884803,53.2929161884803,4.323333333333333,9.0,36.910000000000004,16.2,30.25,14.05,1.5611111111111111
000000000002158151 - T VISITA P BORDA DESIRE AZUL 6238,AM,8,2018,3.99,0.474006116207951,47.400611620795104,3.99,2.0,7.98,3.0999999999999996,6.54,3.44,1.72
000000000002158151 - T VISITA P BORDA DESIRE AZUL 6238,AM,9,2017,4.99,0.6187347188264063,61.87347188264062,4.99,8.0,39.92,20.19,32.72,12.53,1.56625
000000000002158151 - T VISITA P BORDA DESIRE AZUL 6238,AM,9,2018,3.99,0.4539679200478412,45.39679200478412,3.99,23.0,91.77,33.3,75.26,41.96,1.8243478260869566
000000000002158151 - T VISITA P BORDA DESIRE AZUL 6238,AM,10,2017,4.99,0.6033007334963325,60.33007334963325,4.99,4.0,19.96,9.87,16.36,6.49,1.6225
000000000002158151 - T VISITA P BORDA DESIRE AZUL 6238,AM,10,2018,5.49,0.56843044263776,56.843044263776,5.115,7.0,36.93,18.02,30.28,12.26,1.7514285714285713
000000000002158151 - T VISITA P BORDA DESIRE AZUL 6238,AM,11,2017,4.99,0.5924001629991851,59.2400162999185,4.99,7.0,34.93,16.84,28.63,11.79,1.6842857142857142
000000000002158151 - T VISITA P BORDA DESIRE AZUL 6238,AM,11,2018,5.99,0.610665926748058,61.066592674805804,5.49,7.0,38.43,19.43,31.509999999999998,12.08,1.7257142857142858
000000000002158151 - T VISITA P BORDA DESIRE AZUL 6238,AM,12,2017,3.275714285714286,0.3650560874017787,36.50560874017787,3.275714285714286,19.0,58.81,16.98,48.19,31.21,1.6426315789473684
000000000002158151 - T VISITA P BORDA DESIRE AZUL 6238,AM,12,2018,5.99,0.6027777777777775,60.27777777777775,5.49,4.0,21.96,10.85,18.0,7.15,1.7875
000000000002158151 - T VISITA P BORDA DESIRE AZUL 6238,AM,13,2017,4.49,0.534153191039906,53.4153191039906,4.29,12.0,51.88,23.67,42.519999999999996,18.85,1.5708333333333335
000000000002158151 - T VISITA P BORDA DESIRE AZUL 6238,AM,13,2018,5.99,0.6512219959266801,65.122199592668,5.99,3.0,17.97,9.52,14.73,5.21,1.7366666666666666
000000000002158151 - T VISITA P BORDA DESIRE AZUL 6238,AM,14,2017,4.99,0.5968704156479218,59.68704156479218,4.99,11.0,54.89,26.49,44.989999999999995,18.5,1.6818181818181819
000000000002158151 - T VISITA P BORDA DESIRE AZUL 6238,AM,14,2018,5.989999999999999,0.635561504158612,63.5561504158612,5.989999999999999,4.0,23.96,12.49,19.65,7.16,1.79
000000000002158151 - T VISITA P BORDA DESIRE AZUL 6238,AM,15,2017,4.99,0.5990220048899757,59.90220048899758,4.99,6.0,29.94,14.75,24.54,9.79,1.6316666666666666
000000000002158151 - T VISITA P BORDA DESIRE AZUL 6238,AM,15,2018,5.989999999999999,0.615605285380756,61.5605285380756,5.989999999999999,3.0,17.97,9.08,14.75,5.67,1.89
000000000002158151 - T VISITA P BORDA DESIRE AZUL 6238,AM,16,2017,4.99,0.601466992665037,60.1466992665037,4.99,1.0,4.99,2.46,4.09,1.63,1.63
000000000002158151 - T VISITA P BORDA DESIRE AZUL 6238,AM,16,2018,5.99,0.633401221995927,63.3401221995927,5.99,1.0,5.99,3.11,4.91,1.8,1.8
000000000002158151 - T VISITA P BORDA DESIRE AZUL 6238,AM,17,2017,4.99,0.578239608801956,57.8239608801956,4.99,3.0,14.97,7.15,12.27,5.12,1.7066666666666668
000000000002158151 - T VISITA P BORDA DESIRE AZUL 6238,AM,17,2018,5.99,0.665987780040733,66.5987780040733,5.99,1.0,5.99,3.27,4.91,1.64,1.64
000000000002158151 - T VISITA P BORDA DESIRE AZUL 6238,AM,18,2017,4.99,0.601466992665037,60.146699266503695,4.99,6.0,29.94,15.0,24.54,9.54,1.5899999999999999
000000000002158151 - T VISITA P BORDA DESIRE AZUL 6238,AM,19,2017,4.99,0.6114506927465363,61.14506927465362,4.99,8.0,39.92,19.77,32.72,12.950000000000001,1.6187500000000001
000000000002158151 - T VISITA P BORDA DESIRE AZUL 6238,AM,20,2017,4.99,0.621026894865526,62.1026894865526,4.99,5.0,24.950000000000003,12.7,20.45,7.75,1.55
000000000002158151 - T VISITA P BORDA DESIRE AZUL 6238,AM,21,2017,3.3900000000000006,0.4154548413846852,41.545484138468524,3.3900000000000006,14.0,45.86,15.8,37.58,21.78,1.5557142857142858
000000000002158151 - T VISITA P BORDA DESIRE AZUL 6238,AM,22,2017,4.590000000000001,0.5720852252881592,57.20852252881592,4.590000000000001,9.0,38.910000000000004,18.0,31.89,13.89,1.5433333333333334
000000000002158151 - T VISITA P BORDA DESIRE AZUL 6238,AM,23,2017,4.99,0.6211287693561532,62.112876935615326,4.99,9.0,44.910000000000004,22.89,36.81,13.92,1.5466666666666666
000000000002158151 - T VISITA P BORDA DESIRE AZUL 6238,AM,24,2017,3.99,0.5252293577981655,52.52293577981655,3.99,3.0,11.97,5.16,9.81,4.65,1.55
