GrpProd;UF;Ano;Mes;Dia;QTD;Preço;CMV/QTD;DPPsic
0.0;AL;2017;5;12;9.0;4.99;4.354444444444444;1.0
0.0;AL;2017;6;9;11.0;7.99;6.612727272727272;1.0
0.0;AL;2017;6;10;12.0;7.989999999999999;6.63;1.0
0.0;AL;2017;6;12;8.0;7.99;6.65125;1.0
0.0;AL;2017;6;13;11.0;7.99;6.669090909090909;1.0
0.0;AL;2017;6;14;13.0;7.99;6.582307692307692;1.0
0.0;AL;2017;6;15;13.0;7.99;6.470769230769231;1.0
0.0;AL;2017;6;16;16.0;8.365;6.811249999999999;1.0
0.0;AL;2017;6;17;20.0;7.99;6.536499999999999;1.0
0.0;AL;2017;6;18;6.0;7.989999999999999;6.613333333333333;1.0
0.0;AL;2017;6;19;16.0;7.99;6.559375;1.0
0.0;AL;2017;6;20;12.0;7.989999999999999;6.5616666666666665;1.0
0.0;AL;2017;6;21;16.0;7.99;6.5375;1.0
0.0;AL;2017;6;22;6.0;7.989999999999999;6.571666666666666;1.0
0.0;AL;2017;6;23;25.0;8.23;6.8448;1.0
0.0;AL;2017;6;24;13.0;7.99;6.623076923076923;1.0
0.0;AL;2017;6;26;17.0;7.990000000000001;6.684117647058823;1.0
0.0;AL;2017;6;27;10.0;8.99;6.674000000000001;1.0
0.0;AL;2017;6;29;8.0;8.99;6.6475;1.0
0.0;AL;2017;6;30;8.0;8.865;6.6325;0.0
0.0;AL;2017;7;1;9.0;9.323333333333332;7.124444444444445;1.0
0.0;AL;2017;7;7;12.0;8.99;6.631666666666667;1.0
0.0;AL;2017;7;8;7.0;8.99;6.661428571428572;1.0
0.0;AL;2017;7;10;7.0;8.99;6.601428571428571;1.0
0.0;AL;2017;7;12;6.0;8.99;6.62;1.0
0.0;AL;2017;7;15;7.0;8.99;6.647142857142858;1.0
0.0;AL;2017;7;17;9.0;8.89;6.47;0.0
0.0;AL;2017;7;20;3.0;9.99;8.053333333333333;1.0
0.0;AL;2017;7;26;3.0;9.99;8.053333333333333;1.0
0.0;AL;2017;7;27;3.0;9.99;8.053333333333333;1.0
0.0;AL;2017;7;28;10.0;7.99;6.644;1.0
0.0;AL;2017;7;29;19.0;8.411052631578947;7.005789473684211;1.0
0.0;AL;2017;7;31;6.0;7.82333333333333;6.456666666666667;0.0
0.0;AL;2017;8;1;8.0;7.99;6.72375;1.0
0.0;AL;2017;8;4;7.0;7.99;6.741428571428571;1.0
0.0;AL;2017;8;5;14.0;8.49;7.1242857142857146;0.7142857142857143
0.0;AL;2017;8;6;3.0;9.99;8.053333333333333;1.0
0.0;AL;2017;8;7;11.0;7.99;6.75;1.0
0.0;AL;2017;8;8;7.0;7.99;6.777142857142857;1.0
0.0;AL;2017;8;9;10.0;7.99;6.759;1.0
0.0;AL;2017;8;10;6.0;7.989999999999999;6.745;1.0
0.0;AL;2017;8;16;6.0;8.82333333333333;6.771666666666667;0.0
0.0;AL;2017;8;18;4.0;9.99;8.2075;1.0
0.0;AL;2017;8;25;3.0;9.99;8.193333333333333;1.0
0.0;AL;2017;8;26;3.0;9.99;8.206666666666667;1.0
0.0;AL;2017;8;31;15.0;8.389999999999999;7.094666666666666;1.0
0.0;AL;2017;9;14;4.0;9.99;8.2075;1.0
0.0;AL;2017;9;15;4.0;9.99;8.225;1.0
0.0;AL;2017;9;18;6.0;8.99;6.8183333333333325;1.0
0.0;AL;2017;9;19;3.0;9.99;8.200000000000001;1.0
0.0;AL;2017;9;21;6.0;8.99;6.803333333333334;1.0
0.0;AL;2017;9;25;4.0;9.99;8.215;1.0
0.0;AL;2017;9;27;7.0;8.99;6.811428571428571;1.0
0.0;AL;2017;9;29;4.0;9.99;8.215;1.0
0.0;AL;2017;10;2;10.0;7.99;6.811;1.0
0.0;AL;2017;10;5;5.0;9.99;8.190000000000001;1.0
0.0;AL;2017;10;7;11.0;9.444545454545455;6.615454545454545;1.0
0.0;AL;2017;10;9;7.0;8.99;5.19;1.0
0.0;AL;2017;10;13;7.0;8.99;5.305714285714286;1.0
0.0;AL;2017;10;14;3.0;9.99;8.193333333333333;1.0
0.0;AL;2017;10;16;10.0;8.99;5.647;1.0
0.0;AL;2017;10;18;8.0;8.87875;5.12125;0.0
0.0;AL;2017;10;19;15.0;9.256666666666666;6.05;1.0
0.0;AL;2017;10;20;12.0;7.989999999999999;5.2125;1.0
0.0;AL;2017;10;21;9.0;8.656666666666666;5.9944444444444445;1.0
0.0;AL;2017;10;22;8.0;7.99;4.91375;1.0
0.0;AL;2017;10;23;20.0;7.99;4.968999999999999;1.0
0.0;AL;2017;10;24;12.0;7.989999999999999;5.484166666666667;1.0
0.0;AL;2017;10;25;17.0;7.989999999999999;3.52;1.0
0.0;AL;2017;10;26;5.0;7.99;4.866;1.0
0.0;AL;2017;10;27;6.0;7.989999999999999;5.073333333333333;1.0
0.0;AL;2017;10;28;9.0;7.989999999999999;5.107777777777778;1.0
0.0;AL;2017;10;29;4.0;7.99;4.8675;1.0
0.0;AL;2017;10;30;6.0;7.989999999999999;6.181666666666668;1.0
0.0;AL;2017;10;31;21.0;7.989999999999999;5.027619047619048;1.0
0.0;AL;2017;11;1;7.0;7.99;5.090000000000001;1.0
0.0;AL;2017;11;2;6.0;7.989999999999999;4.996666666666667;1.0
0.0;AL;2017;11;3;5.0;7.99;6.57;1.0
0.0;AL;2017;11;4;3.0;7.989999999999999;6.546666666666667;1.0
0.0;AL;2017;11;6;3.0;7.989999999999999;6.576666666666667;1.0
0.0;AL;2017;11;7;7.0;7.99;6.534285714285715;1.0
0.0;AL;2017;11;8;15.0;8.456666666666667;5.941999999999999;1.0
0.0;AL;2017;11;10;11.0;8.626363636363637;5.528181818181818;0.2727272727272727
0.0;AL;2017;11;11;6.0;7.989999999999999;6.496666666666666;1.0
0.0;AL;2017;11;13;10.0;8.59;5.51;1.0
0.0;AL;2017;11;14;10.0;7.99;5.076;1.0
0.0;AL;2017;11;15;17.0;8.248235294117647;5.167058823529412;0.7058823529411765
0.0;AL;2017;11;16;21.0;7.990000000000001;4.970952380952381;1.0
0.0;AL;2017;11;17;4.0;7.99;4.91;1.0
0.0;AL;2017;11;18;20.0;7.948999999999998;5.339;0.7
0.0;AL;2017;11;20;11.0;7.99;4.961818181818182;1.0
0.0;AL;2017;11;21;24.0;7.989999999999999;5.460416666666667;1.0
0.0;AL;2017;11;22;17.0;7.989999999999999;4.942352941176471;1.0
0.0;AL;2017;11;23;25.0;8.549999999999997;5.206;0.64
0.0;AL;2017;11;27;61.0;6.9408196721311475;5.142295081967213;0.0
0.0;AL;2017;11;28;42.0;7.275714285714285;5.335714285714285;1.0
0.0;AL;2017;11;29;42.0;7.204285714285714;5.203571428571429;1.0
0.0;AL;2017;11;30;57.0;7.235614035087719;5.296842105263158;1.0
0.0;AL;2017;12;1;74.0;7.111621621621621;5.07;1.0
0.0;AL;2017;12;2;52.0;7.220769230769231;5.204038461538461;1.0
0.0;AL;2017;12;3;26.0;7.182307692307693;5.165384615384616;1.0
0.0;AL;2017;12;4;52.0;7.2784615384615385;5.239615384615385;1.0
0.0;AL;2017;12;5;45.0;7.241333333333331;5.270666666666667;0.5111111111111111
0.0;AL;2017;12;6;41.0;7.1363414634146345;5.089024390243902;1.0
0.0;AL;2017;12;7;50.0;7.07;5.0241999999999996;1.0
0.0;AL;2017;12;8;29.0;7.4382758620689655;5.4734482758620695;1.0
0.0;AL;2017;12;9;42.0;7.18047619047619;5.101428571428571;1.0
0.0;AL;2017;12;10;18.0;7.323333333333333;5.156666666666666;1.0
0.0;AL;2017;12;11;45.0;7.145555555555556;5.103111111111111;1.0
0.0;AL;2017;12;12;29.0;7.403793103448276;5.047586206896551;1.0
0.0;AL;2017;12;13;12.0;6.989999999999999;4.894166666666667;1.0
0.0;AL;2017;12;14;35.0;7.589999999999999;5.113428571428571;1.0
0.0;AL;2017;12;15;46.0;6.511739130434783;5.059347826086956;1.0
0.0;AL;2017;12;16;62.0;6.3062903225806455;5.022903225806451;0.24193548387096775
0.0;AL;2017;12;17;35.0;6.332857142857143;5.017428571428572;1.0
0.0;AL;2017;12;18;31.0;6.828709677419357;5.131935483870968;0.7741935483870968
0.0;AL;2017;12;19;48.0;6.573333333333334;5.072291666666667;1.0
0.0;AL;2017;12;20;52.0;6.336153846153847;5.124807692307693;1.0
0.0;AL;2017;12;21;45.0;6.301111111111111;5.147555555555555;1.0
0.0;AL;2017;12;22;39.0;6.3851282051282015;5.1720512820512825;0.20512820512820512
0.0;AL;2017;12;23;61.0;6.209836065573773;5.047377049180327;0.36065573770491804
0.0;AL;2017;12;24;32.0;6.365;5.160625;1.0
0.0;AL;2017;12;26;59.0;6.159491525423731;4.905593220338983;0.0
0.0;AL;2017;12;27;56.0;6.150714285714287;5.072321428571429;1.0
0.0;AM;2017;1;2;24.0;7.864999999999999;3.5004166666666667;0.0
0.0;AM;2017;1;3;13.0;7.99;3.5053846153846155;1.0
0.0;AM;2017;1;4;13.0;7.99;3.5053846153846155;1.0
0.0;AM;2017;1;5;10.0;7.99;3.383;1.0
0.0;AM;2017;1;7;10.0;7.99;3.433;1.0
0.0;AM;2017;1;9;12.0;7.989999999999999;3.4133333333333336;1.0
0.0;AM;2017;1;10;8.0;7.99;3.4925;1.0
0.0;AM;2017;1;13;11.0;7.99;3.4600000000000004;1.0
0.0;AM;2017;1;14;13.0;7.99;3.476923076923077;1.0
0.0;AM;2017;1;15;16.0;7.99;3.586875;1.0
0.0;AM;2017;1;18;8.0;7.99;3.44125;1.0
0.0;AM;2017;1;19;10.0;7.99;3.566;1.0
0.0;AM;2017;1;20;10.0;7.99;3.4230000000000005;1.0
0.0;AM;2017;1;21;26.0;7.99;3.4284615384615384;1.0
0.0;AM;2017;1;23;8.0;7.99;3.53625;1.0
0.0;AM;2017;1;24;10.0;8.79;3.31;0.0
0.0;AM;2017;1;25;15.0;7.99;3.4506666666666663;1.0
0.0;AM;2017;1;26;14.0;7.99;3.407142857142857;1.0
0.0;AM;2017;1;27;12.0;7.989999999999999;3.5308333333333333;1.0
0.0;AM;2017;1;28;13.0;7.99;3.4984615384615383;1.0
0.0;AM;2017;1;29;13.0;7.99;3.5146153846153845;1.0
0.0;AM;2017;1;30;12.0;7.989999999999999;3.5241666666666664;1.0
0.0;AM;2017;1;31;16.0;7.99;3.485625;1.0
0.0;AM;2017;2;1;16.0;7.99;3.40375;1.0
0.0;AM;2017;2;2;14.0;7.99;3.43;1.0
0.0;AM;2017;2;4;18.0;7.989999999999999;3.5244444444444443;1.0
0.0;AM;2017;2;5;9.0;7.989999999999999;3.4911111111111115;1.0
0.0;AM;2017;2;6;10.0;7.99;3.4300000000000006;1.0
0.0;AM;2017;2;7;11.0;7.99;3.5345454545454547;1.0
0.0;AM;2017;2;8;13.0;7.99;3.373076923076923;1.0
0.0;AM;2017;2;9;8.0;7.99;3.4375;1.0
0.0;AM;2017;2;10;16.0;7.99;3.46;1.0
0.0;AM;2017;2;11;15.0;7.99;3.481333333333333;1.0
0.0;AM;2017;2;12;9.0;7.989999999999999;3.551111111111111;1.0
0.0;AM;2017;2;13;11.0;7.99;3.496363636363637;1.0
0.0;AM;2017;2;14;10.0;8.29;3.3660000000000005;0.0
0.0;AM;2017;2;15;16.0;7.99;3.5175;1.0
0.0;AM;2017;2;16;13.0;7.74384615384615;3.46;0.0
0.0;AM;2017;2;17;54.0;5.990000000000001;3.507962962962963;1.0
0.0;AM;2017;2;18;31.0;5.97064516129032;3.468709677419355;0.0
0.0;AM;2017;2;19;23.0;5.99;3.641304347826087;1.0
0.0;AM;2017;2;20;56.0;6.24;3.405;0.0
0.0;AM;2017;2;21;17.0;7.04882352941177;3.4576470588235293;0.0
0.0;AM;2017;2;22;16.0;7.74;3.435;0.0
0.0;AM;2017;2;23;14.0;6.70428571428571;3.557142857142857;0.0
0.0;AM;2017;2;24;15.0;7.80333333333333;3.482;0.0
0.0;AM;2017;2;25;16.0;7.99;3.469375;1.0
0.0;AM;2017;2;26;23.0;7.95521739130435;3.590434782608696;0.0
0.0;AM;2017;2;27;14.0;7.8471428571428605;3.52;0.0
0.0;AM;2017;2;28;17.0;7.990000000000001;3.5729411764705885;1.0
0.0;AM;2017;3;1;17.0;7.990000000000001;3.5905882352941174;1.0
0.0;AM;2017;3;2;9.0;7.989999999999999;3.578888888888889;1.0
0.0;AM;2017;3;3;16.0;8.0525;3.523125;0.0
0.0;AM;2017;3;4;15.0;7.99;3.442;1.0
0.0;AM;2017;3;6;14.0;7.99;3.506428571428572;1.0
0.0;AM;2017;3;7;13.0;7.99;3.3184615384615386;1.0
0.0;AM;2017;3;8;14.0;7.99;3.5585714285714287;1.0
0.0;AM;2017;3;9;17.0;7.990000000000001;3.392352941176471;1.0
0.0;AM;2017;3;10;23.0;7.99;3.503913043478261;1.0
0.0;AM;2017;3;11;12.0;7.989999999999999;3.5208333333333335;1.0
0.0;AM;2017;3;14;28.0;5.70428571428571;3.6182142857142856;0.0
0.0;AM;2017;3;24;57.0;4.99;3.43140350877193;1.0
0.0;AM;2017;3;26;17.0;4.99;3.612352941176471;1.0
0.0;AM;2017;3;27;37.0;4.99;3.363243243243243;1.0
0.0;AM;2017;3;28;31.0;4.99;3.4729032258064514;1.0
0.0;AM;2017;3;29;28.0;4.95428571428571;3.315;0.0
0.0;AM;2017;3;30;36.0;4.99;3.330555555555556;1.0
0.0;AM;2017;3;31;37.0;4.99;3.4964864864864857;1.0
0.0;AM;2017;4;1;18.0;4.99;3.3605555555555555;1.0
0.0;AM;2017;4;2;12.0;4.99;3.545833333333333;1.0
0.0;AM;2017;4;3;28.0;4.99;3.3460714285714284;1.0
0.0;AM;2017;4;4;24.0;4.99;3.4566666666666666;1.0
0.0;AM;2017;4;5;20.0;4.99;3.4045;1.0
0.0;AM;2017;4;6;23.0;4.99;3.3895652173913042;1.0
0.0;AM;2017;4;7;21.0;4.99;3.3319047619047617;1.0
0.0;AM;2017;4;8;28.0;4.99;3.38;1.0
0.0;AM;2017;4;10;42.0;4.99;3.302380952380952;1.0
0.0;AM;2017;4;11;15.0;4.99;3.358;1.0
0.0;AM;2017;4;12;24.0;4.99;3.39625;1.0
0.0;AM;2017;4;17;11.0;4.99;3.3818181818181823;1.0
0.0;AM;2017;4;18;11.0;4.99;3.5863636363636364;1.0
0.0;AM;2017;4;19;8.0;4.99;3.35875;1.0
0.0;AM;2017;4;20;11.0;4.99;3.3454545454545443;1.0
0.0;AM;2017;4;21;11.0;4.99;3.4145454545454546;1.0
0.0;AM;2017;4;24;11.0;4.99;3.6554545454545457;1.0
0.0;AM;2017;4;26;13.0;4.99;3.4423076923076925;1.0
0.0;AM;2017;4;27;42.0;4.99;3.4604761904761907;1.0
0.0;AM;2017;4;29;48.0;4.99;3.7035416666666663;1.0
0.0;AM;2017;4;30;46.0;4.99;3.701521739130435;1.0
0.0;AM;2017;5;1;40.0;4.99;3.7024999999999997;1.0
0.0;AM;2017;5;2;10.0;4.99;3.625;1.0
0.0;AM;2017;5;3;18.0;4.99;3.988888888888889;1.0
0.0;AM;2017;5;4;28.0;4.9721428571428605;4.088214285714286;0.0
0.0;AM;2017;5;5;44.0;4.99;3.602727272727273;1.0
0.0;AM;2017;5;7;34.0;4.99;3.364705882352941;1.0
0.0;AM;2017;5;9;49.0;4.99;3.35734693877551;1.0
0.0;AM;2017;5;10;29.0;4.99;3.5017241379310344;1.0
0.0;AM;2017;5;11;15.0;4.99;3.4986666666666664;1.0
0.0;AM;2017;5;14;43.0;4.99;3.9900000000000007;1.0
0.0;AM;2017;5;15;29.0;4.97275862068966;3.5289655172413794;0.0
0.0;AM;2017;5;16;40.0;4.99;3.52775;1.0
